[2025-09-13 18:11:25] Monitoring vmware-vmx.exe (CPU: 68.30, RAM: 3.41)
[2025-09-13 18:12:09] Monitoring vmware-vmx.exe (CPU: 50.02, RAM: 6.30)
[2025-09-13 18:12:11] Monitoring vmware-vmx.exe (CPU: 48.41, RAM: 6.30)
[2025-09-13 18:12:13] Monitoring vmware-vmx.exe (CPU: 46.90, RAM: 6.30)
[2025-09-13 18:12:15] Monitoring vmware-vmx.exe (CPU: 45.48, RAM: 6.30)
[2025-09-13 18:12:16] Optimization applied (CPU: 80.00, RAM: 90.00, Action: lower-priority)
[2025-09-13 18:12:17] Monitoring vmware-vmx.exe (CPU: 44.14, RAM: 6.30)
[2025-09-13 18:12:19] Monitoring vmware-vmx.exe (CPU: 42.88, RAM: 6.30)
[2025-09-13 18:12:21] Monitoring vmware-vmx.exe (CPU: 41.70, RAM: 6.30)
[2025-09-13 18:12:23] Monitoring vmware-vmx.exe (CPU: 40.57, RAM: 6.30)
[2025-09-13 18:12:25] Monitoring vmware-vmx.exe (CPU: 39.50, RAM: 6.30)
[2025-09-13 18:12:27] Monitoring vmware-vmx.exe (CPU: 38.49, RAM: 6.30)
[2025-09-13 18:12:29] Monitoring vmware-vmx.exe (CPU: 37.53, RAM: 6.30)
[2025-09-13 18:12:31] Monitoring vmware-vmx.exe (CPU: 36.62, RAM: 6.30)
[2025-09-13 18:12:33] Monitoring vmware-vmx.exe (CPU: 35.75, RAM: 6.30)
[2025-09-13 18:12:35] Monitoring vmware-vmx.exe (CPU: 34.92, RAM: 6.30)
[2025-09-13 18:12:37] Monitoring vmware-vmx.exe (CPU: 34.18, RAM: 6.35)
[2025-09-13 18:12:39] Monitoring vmware-vmx.exe (CPU: 33.44, RAM: 6.35)
[2025-09-13 18:12:41] Monitoring vmware-vmx.exe (CPU: 32.71, RAM: 6.35)
[2025-09-13 18:12:43] Monitoring vmware-vmx.exe (CPU: 32.02, RAM: 6.35)
[2025-09-13 18:12:45] Monitoring vmware-vmx.exe (CPU: 31.37, RAM: 6.35)
[2025-09-13 18:12:47] Monitoring vmware-vmx.exe (CPU: 30.93, RAM: 6.45)
[2025-09-13 18:12:49] Monitoring vmware-vmx.exe (CPU: 30.31, RAM: 6.45)
[2025-09-13 18:12:51] Monitoring vmware-vmx.exe (CPU: 29.72, RAM: 6.45)
[2025-09-13 18:12:53] Monitoring vmware-vmx.exe (CPU: 29.15, RAM: 6.45)
[2025-09-13 18:12:55] Monitoring vmware-vmx.exe (CPU: 28.60, RAM: 6.45)
[2025-09-13 18:12:57] Monitoring vmware-vmx.exe (CPU: 28.07, RAM: 6.45)
[2025-09-13 18:12:59] Monitoring vmware-vmx.exe (CPU: 27.56, RAM: 6.45)
[2025-09-13 18:13:01] Monitoring vmware-vmx.exe (CPU: 27.07, RAM: 6.46)
[2025-09-13 18:13:03] Monitoring vmware-vmx.exe (CPU: 26.59, RAM: 6.46)
[2025-09-13 18:13:05] Monitoring vmware-vmx.exe (CPU: 26.14, RAM: 6.46)
[2025-09-13 18:13:07] Optimization applied (CPU: 80.00, RAM: 90.00, Action: lower-priority)
[2025-09-13 18:13:08] Monitoring vmware-vmx.exe (CPU: 25.69, RAM: 6.46)
[2025-09-13 18:13:10] Monitoring vmware-vmx.exe (CPU: 25.27, RAM: 6.46)
[2025-09-13 18:13:12] Monitoring vmware-vmx.exe (CPU: 24.85, RAM: 6.46)
[2025-09-13 18:13:14] Monitoring vmware-vmx.exe (CPU: 24.45, RAM: 6.46)
[2025-09-13 18:13:16] Monitoring vmware-vmx.exe (CPU: 24.06, RAM: 6.46)
[2025-09-13 18:13:18] Monitoring vmware-vmx.exe (CPU: 23.69, RAM: 6.46)
[2025-09-13 18:13:20] Monitoring vmware-vmx.exe (CPU: 23.32, RAM: 6.46)
[2025-09-13 18:13:22] Monitoring vmware-vmx.exe (CPU: 22.97, RAM: 6.46)
[2025-09-13 18:13:24] Monitoring vmware-vmx.exe (CPU: 22.63, RAM: 6.46)
[2025-09-13 18:13:26] Monitoring vmware-vmx.exe (CPU: 22.30, RAM: 6.46)
[2025-09-13 18:13:28] Monitoring vmware-vmx.exe (CPU: 21.97, RAM: 6.46)
[2025-09-13 18:13:30] Monitoring vmware-vmx.exe (CPU: 21.66, RAM: 6.46)
[2025-09-13 18:13:32] Monitoring vmware-vmx.exe (CPU: 21.35, RAM: 6.46)
[2025-09-13 18:13:34] Monitoring vmware-vmx.exe (CPU: 21.06, RAM: 6.46)
[2025-09-13 18:13:36] Monitoring vmware-vmx.exe (CPU: 20.77, RAM: 6.46)
[2025-09-13 18:13:38] Monitoring vmware-vmx.exe (CPU: 20.52, RAM: 6.46)
[2025-09-13 18:13:40] Monitoring vmware-vmx.exe (CPU: 20.25, RAM: 6.46)
[2025-09-13 18:13:42] Monitoring vmware-vmx.exe (CPU: 19.98, RAM: 6.46)
[2025-09-13 18:13:44] Monitoring vmware-vmx.exe (CPU: 19.72, RAM: 6.49)
[2025-09-13 18:13:46] Monitoring vmware-vmx.exe (CPU: 19.47, RAM: 6.49)
[2025-09-13 18:13:48] Monitoring vmware-vmx.exe (CPU: 19.22, RAM: 6.49)
[2025-09-13 18:13:50] Monitoring vmware-vmx.exe (CPU: 18.98, RAM: 6.49)
[2025-09-13 18:13:52] Monitoring vmware-vmx.exe (CPU: 18.75, RAM: 6.49)
[2025-09-13 18:13:54] Monitoring vmware-vmx.exe (CPU: 18.52, RAM: 6.49)
[2025-09-13 18:13:56] Monitoring vmware-vmx.exe (CPU: 18.30, RAM: 6.49)
[2025-09-13 18:13:58] Monitoring vmware-vmx.exe (CPU: 18.22, RAM: 6.68)
[2025-09-13 18:14:00] Monitoring vmware-vmx.exe (CPU: 18.03, RAM: 6.80)
[2025-09-13 18:14:02] Monitoring vmware-vmx.exe (CPU: 18.05, RAM: 7.27)
[2025-09-13 18:14:04] Monitoring vmware-vmx.exe (CPU: 17.84, RAM: 7.29)
[2025-09-13 18:14:06] Monitoring vmware-vmx.exe (CPU: 17.64, RAM: 7.30)
[2025-09-13 18:14:08] Monitoring vmware-vmx.exe (CPU: 17.44, RAM: 7.32)
[2025-09-13 18:14:10] Monitoring vmware-vmx.exe (CPU: 17.25, RAM: 7.34)
[2025-09-13 18:14:12] Monitoring vmware-vmx.exe (CPU: 17.06, RAM: 7.35)
[2025-09-13 18:14:14] Monitoring vmware-vmx.exe (CPU: 16.88, RAM: 7.38)
[2025-09-13 18:14:16] Monitoring vmware-vmx.exe (CPU: 16.70, RAM: 7.42)
[2025-09-13 18:14:18] Monitoring vmware-vmx.exe (CPU: 16.52, RAM: 7.44)
[2025-09-13 18:14:20] Monitoring vmware-vmx.exe (CPU: 16.35, RAM: 7.47)
[2025-09-13 18:14:22] Monitoring vmware-vmx.exe (CPU: 16.18, RAM: 7.51)
[2025-09-13 18:14:24] Monitoring vmware-vmx.exe (CPU: 16.02, RAM: 7.54)
[2025-09-13 18:14:26] Monitoring vmware-vmx.exe (CPU: 15.85, RAM: 7.57)
[2025-09-13 18:14:28] Monitoring vmware-vmx.exe (CPU: 15.69, RAM: 7.60)
[2025-09-13 18:14:30] Monitoring vmware-vmx.exe (CPU: 15.54, RAM: 7.64)
[2025-09-13 18:14:32] Monitoring vmware-vmx.exe (CPU: 15.38, RAM: 7.67)
[2025-09-13 18:14:34] Monitoring vmware-vmx.exe (CPU: 15.23, RAM: 7.70)
[2025-09-13 18:14:36] Monitoring vmware-vmx.exe (CPU: 15.09, RAM: 7.73)
[2025-09-13 18:14:38] Monitoring vmware-vmx.exe (CPU: 14.94, RAM: 7.77)
[2025-09-13 18:14:40] Monitoring vmware-vmx.exe (CPU: 14.80, RAM: 7.79)
[2025-09-13 18:14:42] Monitoring vmware-vmx.exe (CPU: 14.66, RAM: 7.82)
[2025-09-13 18:14:44] Monitoring vmware-vmx.exe (CPU: 14.52, RAM: 7.85)
[2025-09-13 18:14:46] Monitoring vmware-vmx.exe (CPU: 14.40, RAM: 7.94)
[2025-09-13 18:14:48] Monitoring vmware-vmx.exe (CPU: 14.28, RAM: 7.97)
[2025-09-13 18:14:50] Monitoring vmware-vmx.exe (CPU: 14.15, RAM: 8.00)
[2025-09-13 18:14:52] Monitoring vmware-vmx.exe (CPU: 14.02, RAM: 8.04)
[2025-09-13 18:14:54] Monitoring vmware-vmx.exe (CPU: 13.90, RAM: 8.07)
[2025-09-13 18:14:56] Monitoring vmware-vmx.exe (CPU: 13.78, RAM: 8.15)
[2025-09-13 18:14:58] Monitoring vmware-vmx.exe (CPU: 13.70, RAM: 8.19)
[2025-09-13 18:15:00] Monitoring vmware-vmx.exe (CPU: 13.59, RAM: 8.22)
[2025-09-13 18:15:02] Monitoring vmware-vmx.exe (CPU: 13.47, RAM: 8.25)
[2025-09-13 18:15:46] Monitoring vmware-vmx.exe (CPU: 61.02, RAM: 2.95)
[2025-09-13 18:15:48] Monitoring vmware-vmx.exe (CPU: 76.24, RAM: 3.43)
[2025-09-13 18:15:50] Monitoring vmware-vmx.exe (CPU: 79.94, RAM: 6.38)
[2025-09-13 18:15:52] Monitoring vmware-vmx.exe (CPU: 75.39, RAM: 13.86)
[2025-09-13 18:15:54] Monitoring vmware-vmx.exe (CPU: 77.12, RAM: 20.15)
[2025-09-13 18:15:56] Monitoring vmware-vmx.exe (CPU: 67.73, RAM: 20.15)
[2025-09-13 18:15:58] Monitoring vmware-vmx.exe (CPU: 58.15, RAM: 20.15)
[2025-09-13 18:16:00] Monitoring vmware-vmx.exe (CPU: 59.93, RAM: 20.18)
[2025-09-13 18:16:02] Monitoring vmware-vmx.exe (CPU: 58.70, RAM: 20.23)
[2025-09-13 18:16:04] Monitoring vmware-vmx.exe (CPU: 58.19, RAM: 20.24)
[2025-09-13 18:16:06] Monitoring vmware-vmx.exe (CPU: 52.99, RAM: 20.26)
[2025-09-13 18:16:08] Monitoring vmware-vmx.exe (CPU: 48.67, RAM: 20.26)
[2025-09-13 18:16:10] Monitoring vmware-vmx.exe (CPU: 44.96, RAM: 20.26)
[2025-09-13 18:16:12] Monitoring vmware-vmx.exe (CPU: 41.72, RAM: 20.26)
[2025-09-13 18:16:14] Monitoring vmware-vmx.exe (CPU: 39.03, RAM: 20.26)
[2025-09-13 18:16:16] Monitoring vmware-vmx.exe (CPU: 36.57, RAM: 20.26)
[2025-09-13 18:16:18] Monitoring vmware-vmx.exe (CPU: 34.41, RAM: 20.26)
[2025-09-13 18:16:20] Monitoring vmware-vmx.exe (CPU: 32.49, RAM: 20.26)
[2025-09-13 18:16:22] Monitoring vmware-vmx.exe (CPU: 30.77, RAM: 20.26)
[2025-09-13 18:16:24] Monitoring vmware-vmx.exe (CPU: 29.23, RAM: 20.26)
[2025-09-13 18:16:26] Monitoring vmware-vmx.exe (CPU: 27.82, RAM: 20.26)
[2025-09-13 18:16:28] Monitoring vmware-vmx.exe (CPU: 26.59, RAM: 20.26)
[2025-09-13 18:16:30] Monitoring vmware-vmx.exe (CPU: 25.43, RAM: 20.26)
[2025-09-13 18:16:32] Monitoring vmware-vmx.exe (CPU: 24.37, RAM: 20.26)
[2025-09-13 18:16:34] Monitoring vmware-vmx.exe (CPU: 23.39, RAM: 20.26)
[2025-09-13 18:16:36] Monitoring vmware-vmx.exe (CPU: 22.49, RAM: 20.26)
[2025-09-13 18:16:38] Monitoring vmware-vmx.exe (CPU: 21.68, RAM: 20.26)
[2025-09-13 18:16:40] Monitoring vmware-vmx.exe (CPU: 20.90, RAM: 20.26)
[2025-09-13 18:16:42] Monitoring vmware-vmx.exe (CPU: 20.21, RAM: 20.26)
[2025-09-13 18:16:44] Monitoring vmware-vmx.exe (CPU: 19.69, RAM: 20.26)
[2025-09-13 18:16:46] Monitoring vmware-vmx.exe (CPU: 19.10, RAM: 20.26)
[2025-09-13 18:16:48] Monitoring vmware-vmx.exe (CPU: 18.50, RAM: 20.26)
[2025-09-13 18:16:50] Monitoring vmware-vmx.exe (CPU: 17.94, RAM: 20.26)
[2025-09-13 18:16:52] Monitoring vmware-vmx.exe (CPU: 17.41, RAM: 20.26)
[2025-09-13 18:16:54] Monitoring vmware-vmx.exe (CPU: 17.11, RAM: 20.27)
[2025-09-13 18:16:56] Monitoring vmware-vmx.exe (CPU: 16.64, RAM: 20.27)
[2025-09-13 18:16:58] Monitoring vmware-vmx.exe (CPU: 16.18, RAM: 20.27)
[2025-09-13 18:17:00] Monitoring vmware-vmx.exe (CPU: 15.76, RAM: 20.27)
[2025-09-13 18:17:02] Monitoring vmware-vmx.exe (CPU: 15.35, RAM: 20.27)
[2025-09-13 18:17:04] Monitoring vmware-vmx.exe (CPU: 14.97, RAM: 20.27)
[2025-09-13 18:17:06] Monitoring vmware-vmx.exe (CPU: 14.60, RAM: 20.27)
[2025-09-13 18:17:08] Monitoring vmware-vmx.exe (CPU: 14.25, RAM: 20.27)
[2025-09-13 18:17:11] Monitoring vmware-vmx.exe (CPU: 13.92, RAM: 20.27)
[2025-09-13 18:17:13] Monitoring vmware-vmx.exe (CPU: 13.60, RAM: 20.27)
[2025-09-13 18:17:15] Monitoring vmware-vmx.exe (CPU: 13.30, RAM: 20.27)
[2025-09-13 18:17:17] Monitoring vmware-vmx.exe (CPU: 13.01, RAM: 20.27)
[2025-09-13 18:17:19] Monitoring vmware-vmx.exe (CPU: 12.73, RAM: 20.27)
[2025-09-13 18:17:21] Monitoring vmware-vmx.exe (CPU: 12.47, RAM: 20.27)
[2025-09-13 18:17:23] Monitoring vmware-vmx.exe (CPU: 12.21, RAM: 20.27)
[2025-09-13 18:17:25] Monitoring vmware-vmx.exe (CPU: 11.97, RAM: 20.27)
